"Name","Title","Type","Revision","Class","Lifecycle State","Scanned In","Checked Out?","Modified Date","Owner Name"
"SPE003857,C,2,0312A Megadyne Product Master Data Specification","0312A Megadyne Product Master Data Specification","Product Master Data Specification","C","Specification","Released"," ","NO","08/18/2020 10:06:25:382","Release"
"SPE003857,A,2,0312A Megadyne Product Master Data Specification","0312A Megadyne Product Master Data Specification","Product Master Data Specification","A","Specification","Released"," ","NO","08/18/2020 10:06:23:866","Release"
"SPE003857,B,2,0312A Megadyne Product Master Data Specification","0312A Megadyne Product Master Data Specification","Product Master Data Specification","B","Specification","Released"," ","NO","08/18/2020 10:06:23:601","Release"
"PRC096666,A,5,IQ Protocol for Pre-Heat Oven E19578 , Coating modifier scale E20258","IQ Protocol for Pre-Heat Oven E19578 , Coating modifier scale E20258","Protocol Equipment Install Qual","A","Protocol","Released"," ","NO","08/12/2020 17:49:46:017","Release"
"PRC096669,A,6,IQ Protocol for Curing Oven w/Truck E19582 MaxID:ES2904","IQ Protocol for Curing Oven w/Truck E19582 MaxID:ES2904","Protocol Equipment Install Qual","A","Protocol","Released"," ","NO","08/12/2020 13:39:56:642","Release"
"PRC097117,A,3,E20291 PTFE Refrigeration Station  Software Validation","E20291 PTFE Refrigeration Station  Software Validation","Protocol Software Validation","A","Protocol","Released"," ","NO","08/10/2020 10:50:33:215","Release"
"DR000768,A,3,Update Megadyne Product Labeling","Update Megadyne Product Labeling","PCO","A","Design Requirement","Released"," ","NO","05/11/2020 09:27:19:962","Release"
"SCN073944,A,2,Update Megadyne Labeling per International Labeling Requirements (RA-DOC-026)","Update Megadyne Labeling per International Labeling Requirements (RA-DOC-026)","ECR/ECP supportive documents","A","Scanned (Hardcopy) Item","Released"," ","NO","03/31/2020 08:48:25:487","Release"





