"Name","Title","Type","Revision","Class","Lifecycle State","Scanned In","Checked Out?","Modified Date","Owner Name"
"SCN073333,B,2,Update Megadyne Labeling per International Labeling Requirements (RA-DOC-018)","Update Megadyne Labeling per International Labeling Requirements (RA-DOC-018)","ECR/ECP supportive documents","B","Scanned (Hardcopy) Item","Released"," ","NO","09/10/2020 16:35:00:780","Release"
"SCN073333,A,5,Update Megadyne Labeling per International Labeling Requirements (RA-DOC-018)","Update Megadyne Labeling per International Labeling Requirements (RA-DOC-018)","ECR/ECP supportive documents","A","Scanned (Hardcopy) Item","Released"," ","NO","09/10/2020 16:34:59:968","Release"
"DR000850,A,1,Update Megadyne Product Labeling","Update Megadyne Product Labeling","PCO","A","Design Requirement","Released"," ","NO","09/10/2020 14:30:33:206","Release"
"SPE003817,C,2,0039 Megadyne Product Master Data Specification","0039 Megadyne Product Master Data Specification","Product Master Data Specification","C","Specification","Released"," ","NO","09/10/2020 13:59:08:624","Release"
"SPE003817,A,3,0039 Megadyne Product Master Data Specification","0039 Megadyne Product Master Data Specification","Product Master Data Specification","A","Specification","Released"," ","NO","08/18/2020 10:06:23:507","Release"
"SPE003817,B,2,0039 Megadyne Product Master Data Specification","0039 Megadyne Product Master Data Specification","Product Master Data Specification","B","Specification","Released"," ","NO","08/18/2020 10:06:22:945","Release"
"SCN075569,A,2,Update Megadyne Labeling per International Labeling Requirements (RA-DOC-018)","Update Megadyne Labeling per International Labeling Requirements (RA-DOC-018)","ECR/ECP supportive documents","A","Scanned (Hardcopy) Item","Released"," ","NO","08/14/2020 16:06:36:983","Release"
"DR000762,A,2,Update Megadyne Product Labeling","Update Megadyne Product Labeling","PCO","A","Design Requirement","Released"," ","NO","07/21/2020 10:42:06:602","Release"





