"Name","Title","Type","Revision","Class","Lifecycle State","Scanned In","Checked Out?","Modified Date","Owner Name"
"SPE003887,C,2,0621M Megadyne Product Master Data Specification","0621M Megadyne Product Master Data Specification","Product Master Data Specification","C","Specification","Released"," ","NO","08/25/2020 16:28:12:918","Release"
"SPE003887,A,2,0621M Megadyne Product Master Data Specification","0621M Megadyne Product Master Data Specification","Product Master Data Specification","A","Specification","Released"," ","NO","08/25/2020 16:28:10:996","Release"
"SPE003887,B,2,0621M Megadyne Product Master Data Specification","0621M Megadyne Product Master Data Specification","Product Master Data Specification","B","Specification","Released"," ","NO","08/25/2020 16:28:10:699","Release"
"DR000786,A,1,Update Megadyne Product Labeling","Update Megadyne Product Labeling","PCO","A","Design Requirement","Released"," ","NO","07/01/2020 12:38:34:415","Release"
"SCN075188,A,3,Update Megadyne Labeling per International Labeling Requirements (RA-DOC-028 & RA-DOC-029)","Update Megadyne Labeling per International Labeling Requirements (RA-DOC-028 & RA-DOC-029)","ECR/ECP supportive documents","A","Scanned (Hardcopy) Item","Released"," ","NO","04/22/2020 15:38:11:558","Release"





